Longitude,Latitude,Encounter Type,geometry,Lat,Lon,cluster_label_dbscan,cluster
-118.19718,51.005276,neutral_passive,POINT (275794.5204365088 5653014.5853241915),5653014.5853241915,275794.5204365088,0,0
-118.186452,51.006168,aggressive,POINT (276550.9595195767 5653081.108510518),5653081.108510518,276550.9595195767,0,0
-118.19739099999995,51.00639199999999,neutral_passive,POINT (275785.1114007675 5653139.241312771),5653139.241312771,275785.1114007675,0,0
-118.18982399999996,51.006681,neutral_passive,POINT (276317.01900679327 5653148.349496051),5653148.349496051,276317.01900679327,0,0
-118.19536999999998,51.00711499999999,curious_risk,POINT (275930.28816981334 5653213.433633671),5653213.433633671,275930.28816981334,0,0
-118.181572,51.005142,neutral_passive,POINT (276888.16929405835 5652952.303107932),5652952.303107932,276888.16929405835,0,0
-118.164613,51.00627000000001,neutral_passive,POINT (278082.57510762906 5653026.420601092),5653026.420601092,278082.57510762906,0,0
-118.181711,51.00676599999998,neutral_passive,POINT (276886.2206597791 5653133.1891303705),5653133.1891303705,276886.2206597791,0,0
-118.15515100000002,51.010075999999984,curious_risk,POINT (278764.0753838772 5653420.896174418),5653420.896174418,278764.0753838772,0,0
-118.18119699999998,51.010452,curious_risk,POINT (276939.9509213455 5653541.234700928),5653541.234700928,276939.9509213455,0,0
-118.176051,51.01046499999998,curious_risk,POINT (277300.76486019674 5653527.107510979),5653527.107510979,277300.76486019674,0,0
-118.175945,51.011523,curious_risk,POINT (277313.26642410364 5653644.3561698515),5653644.3561698515,277313.26642410364,0,0
-118.136837,51.012052,neutral_passive,POINT (280057.319722072 5653585.630196602),5653585.630196602,280057.319722072,0,0
-118.189982,51.008056,curious_risk,POINT (276312.56051172386 5653301.62426101),5653301.62426101,276312.56051172386,0,0
-118.18772799999998,51.008338,aggressive,POINT (276471.9376972826 5653326.118419702),5653326.118419702,276471.9376972826,0,0
-118.20027399999996,51.008417,neutral_passive,POINT (275592.76574235794 5653373.045893587),5653373.045893587,275592.76574235794,0,0
-118.192515,51.00857,neutral_passive,POINT (276137.4563028795 5653366.437249793),5653366.437249793,276137.4563028795,0,0
-118.190074,51.00880899999999,neutral_passive,POINT (276309.7354910638 5653385.579735076),5653385.579735076,276309.7354910638,0,0
-118.195804,51.00909099999999,neutral_passive,POINT (275909.39041151747 5653434.3339544255),5653434.3339544255,275909.39041151747,0,0
-118.19509899999998,51.009201,neutral_passive,POINT (275959.34488658264 5653444.412877547),5653444.412877547,275959.34488658264,0,0
-118.18719699999998,51.00950300000001,curious_risk,POINT (276514.7672520698 5653453.966199941),5653453.966199941,276514.7672520698,0,0
