Longitude,Latitude,Encounter Type,geometry,Lat,Lon,cluster_label_dbscan,cluster
-115.39974599999998,51.14246399999999,neutral_passive,POINT (472047.2083174331 5663476.377084411),5663476.377084411,472047.2083174331,-1,-1
-115.393227,51.142531,neutral_passive,POINT (472503.0966810695 5663481.368450302),5663481.368450302,472503.0966810695,-1,-1
-115.415651,51.142542000000006,neutral_passive,POINT (470935.082238722 5663491.2103835605),5663491.2103835605,470935.082238722,-1,-1
-115.402905,51.142558,neutral_passive,POINT (471826.3688627273 5663488.031142088),5663488.031142088,471826.3688627273,-1,-1
-115.399982,51.142628,neutral_passive,POINT (472030.80485351995 5663494.697244737),5663494.697244737,472030.80485351995,-1,-1
-115.424424,51.142876,neutral_passive,POINT (470321.8357278305 5663531.8404326085),5663531.8404326085,470321.8357278305,-1,-1
-115.39914,51.143575,neutral_passive,POINT (472090.2535311196 5663599.647394493),5663599.647394493,472090.2535311196,-1,-1
-115.43513400000002,51.143779,neutral_passive,POINT (469573.52766333485 5663636.593668015),5663636.593668015,469573.52766333485,-1,-1
-115.428298,51.14389399999999,neutral_passive,POINT (470051.6031958526 5663646.572466856),5663646.572466856,470051.6031958526,-1,-1
-115.418392,51.14407700000002,neutral_passive,POINT (470744.38540387654 5663662.929460865),5663662.929460865,470744.38540387654,-1,-1
-115.39681199999995,51.14461499999999,curious_risk,POINT (472253.6611971753 5663714.374811051),5663714.374811051,472253.6611971753,-1,-1
-115.406585,51.14462399999999,neutral_passive,POINT (471570.31033394893 5663719.106218499),5663719.106218499,471570.31033394893,-1,-1
-115.409366,51.144755,curious_risk,POINT (471375.93587334733 5663734.746636467),5663734.746636467,471375.93587334733,-1,-1
-115.432867,51.145324,neutral_passive,POINT (469733.0560165892 5663807.402930692),5663807.402930692,469733.0560165892,-1,-1
-115.403044,51.14594600000001,neutral_passive,POINT (471818.71224999847 5663864.69938365),5663864.69938365,471818.71224999847,-1,-1
-115.412406,51.146403,neutral_passive,POINT (471164.39785491256 5663919.127807563),5663919.127807563,471164.39785491256,-1,-1
-115.433743,51.14727499999999,neutral_passive,POINT (469673.08313596656 5664024.639559162),5664024.639559162,469673.08313596656,-1,-1
-115.416186,51.14736400000001,neutral_passive,POINT (470900.70393390476 5664027.442270473),5664027.442270473,470900.70393390476,-1,-1
-115.42716,51.147423,neutral_passive,POINT (470133.45422020386 5664038.398480023),5664038.398480023,470133.45422020386,-1,-1
-115.510895,50.887985,curious_risk,POINT (464078.92956760427 5635236.93187147),5635236.93187147,464078.92956760427,-1,-1
-115.51087699999997,51.035187,neutral_passive,POINT (464193.5199003964 5651599.549269517),5651599.549269517,464193.5199003964,-1,-1
-115.513749,51.122861,aggressive,POINT (464060.2176463011 5661346.77773612),5661346.77773612,464060.2176463011,-1,-1
-115.517803,51.13080699999999,aggressive,POINT (463782.83286832034 5662232.048534774),5662232.048534774,463782.83286832034,0,0
-115.518111,51.146686,curious_risk,POINT (463773.71936684835 5663997.325204632),5663997.325204632,463773.71936684835,0,0
-115.51288099999998,51.158097000000005,neutral_passive,POINT (464148.24185566197 5665263.223991417),5665263.223991417,464148.24185566197,0,0
-115.517061,51.159529000000006,curious_risk,POINT (463857.16924513807 5665424.45259904),5665424.45259904,463857.16924513807,0,0
-115.516838,51.160434,neutral_passive,POINT (463873.4638214545 5665524.944098697),5665524.944098697,463873.4638214545,0,0
-115.511007,51.160567,neutral_passive,POINT (464281.1461574446 5665536.880935213),5665536.880935213,464281.1461574446,0,0
-115.51600699999996,51.160954,neutral_passive,POINT (463931.95517769223 5665582.340221509),5665582.340221509,463931.95517769223,0,0
-115.525947,51.11244199999999,curious_risk,POINT (463198.6241624331 5660194.623480968),5660194.623480968,463198.6241624331,-1,-1
-115.521359,51.11346,neutral_passive,POINT (463520.45371456834 5660305.500988898),5660305.500988898,463520.45371456834,-1,-1
-115.522459,51.11464699999999,neutral_passive,POINT (463444.4236215403 5660437.994223595),5660437.994223595,463444.4236215403,-1,-1
-115.524839,51.117724,neutral_passive,POINT (463280.33898775285 5660781.219840152),5660781.219840152,463280.33898775285,-1,-1
-115.523306,51.118923,neutral_passive,POINT (463388.54029727465 5660913.737666199),5660913.737666199,463388.54029727465,-1,-1
-115.519145,51.12137299999999,neutral_passive,POINT (463681.5709252941 5661184.019577681),5661184.019577681,463681.5709252941,-1,-1
-115.52278599999998,51.138163,curious_risk,POINT (463440.11381775455 5663052.212132018),5663052.212132018,463440.11381775455,0,0
-115.523072,51.15590699999999,neutral_passive,POINT (463434.1367095253 5665024.7969829375),5665024.7969829375,463434.1367095253,0,0
