name,geometry,tourism,Latitude,Longitude,Lat,Lon
Tw7 Twin Lakes,POINT (431597.3609584613 5671873.757593796),camp_site,51.2145883,-115.9797469,5671873.757593796,431597.3609584613
,POINT (403094.28910643526 5724632.297881173),viewpoint,51.6849024,-116.4023553,5724632.297881173,403094.28910643526
Halfway Hut,POINT (423750.0855629549 5700796.830671391),wilderness_hut,51.4737252,-116.098326,5700796.830671391,423750.0855629549
Stoney Creek Wardens Cabin,POINT (458681.423168156 5685081.819098833),alpine_hut,51.3360011,-115.5933755,5685081.819098833,458681.423168156
Bow View Lodge,POINT (459783.0767073101 5667498.312901982),hotel,51.1779127,-115.575576,5667498.312901982,459783.0767073101
Mountain Country,POINT (460307.32127346925 5668043.995669583),guest_house,51.1828579,-115.5681337,5668043.995669583,460307.32127346925
King Edward Hotel,POINT (460088.2496944299 5667342.524616421),hotel,51.1765327,-115.5711913,5667342.524616421,460088.2496944299
Big Horn Bed and Breakfast,POINT (459872.69729489146 5667805.374368443),guest_house,51.1806811,-115.5743277,5667805.374368443,459872.69729489146
Taylor Lake Campground - Ta6,POINT (424098.03192194644 5681281.856405199),camp_site,51.298257,-116.0891394,5681281.856405199,424098.03192194644
,POINT (417120.6312301102 5694331.425740249),picnic_site,51.4146456,-116.1922812,5694331.425740249,417120.6312301102
Sentinel Pass,POINT (414924.3855894976 5686128.732020531),attraction,51.3405495,-116.221902,5686128.732020531,414924.3855894976
,POINT (380699.15100648935 5757103.890307796),picnic_site,51.9725298,-116.7374973,5757103.890307796,380699.15100648935
,POINT (407042.91487513896 5732032.192983754),attraction,51.7521143,-116.3472078,5732032.192983754,407042.91487513896
,POINT (406123.80379963823 5734052.40049474),camp_site,51.7701272,-116.3610701,5734052.40049474,406123.80379963823
,POINT (402418.2388926171 5739346.714644557),attraction,51.8170997,-116.416268,5739346.714644557,402418.2388926171
Waterfowl Lake - Viewpoint North,POINT (386766.9306738486 5743988.7263741605),viewpoint,51.8558826,-116.6448518,5743988.7263741605,386766.9306738486
,POINT (373770.0704471916 5752266.321022909),camp_site,51.9275087,-116.83658,5752266.321022909,373770.0704471916
,POINT (373895.6226598576 5752282.151767992),attraction,51.9276795,-116.8347601,5752282.151767992,373895.6226598576
Sunset Lookout,POINT (368416.7987542843 5770196.435915818),viewpoint,52.0874506,-116.9213146,5770196.435915818,368416.7987542843
Moraine Lake lodge,POINT (417641.9802764745 5684663.187261472),hotel,51.3277695,-116.1825404,5684663.187261472,417641.9802764745
Marvel Lake -BR13,POINT (463602.9453622239 5635779.873358408),camp_site,50.8928405,-115.517721,5635779.873358408,463602.9453622239
Upper Falls,POINT (442066.95334531233 5676963.743602285),viewpoint,51.2615308,-115.8306316,5676963.743602285,442066.95334531233
Castle Cliffs,POINT (435257.0364666288 5678442.0746206865),viewpoint,51.2740945,-115.9285252,5678442.0746206865,435257.0364666288
