Longitude,Latitude,Encounter Type
-57.92216599999999,0.006011,curious_risk
-82.515234,41.900301,curious_risk
-82.50915,41.901669,neutral_passive
-82.51352,41.906181,neutral_passive
-82.510085,41.906297,neutral_passive
-82.520383,41.907855,neutral_passive
-82.503952,41.909849,neutral_passive
-82.494406,41.910959,aggressive
-82.50315399999998,41.912308,neutral_passive
-82.514205,41.912599,curious_risk
-82.51506499999998,41.916146999999995,curious_risk
-82.50057799999998,41.91742399999999,neutral_passive
-82.515751,41.918369999999996,aggressive
-82.507076,41.918734,aggressive
-82.50551399999998,41.92000000000001,neutral_passive
-82.495944,41.92142599999999,neutral_passive
-82.50348099999998,41.925233999999996,neutral_passive
-82.508016,41.927165,neutral_passive
-82.49835699999998,41.929364,neutral_passive
-82.502716,41.929544,curious_risk
-82.498938,41.93209399999999,neutral_passive
-82.514918,41.93543,neutral_passive
-82.516551,41.937348,neutral_passive
-82.507885,41.937492999999996,neutral_passive
-82.52425599999998,41.93813,neutral_passive
-82.507593,41.938227,curious_risk
-82.50987399999997,41.940315,neutral_passive
-82.50099399999999,41.941283,curious_risk
-82.50906,41.94156,neutral_passive
-82.50861099999999,41.94318,curious_risk
-82.51760399999999,41.94378799999999,neutral_passive
-82.52860099999997,41.944,curious_risk
-82.514151,41.94442999999999,curious_risk
-82.50646599999999,41.94500399999999,neutral_passive
-82.515968,41.945434,curious_risk
-82.502858,41.945573,neutral_passive
-82.533355,41.94660599999999,curious_risk
-82.521981,41.94805699999999,curious_risk
-82.52777799999997,41.948433,curious_risk
-82.508979,41.94871899999998,curious_risk
-82.50329299999999,41.94980999999999,neutral_passive
-82.517581,41.949884,curious_risk
-82.53343099999998,41.951682,aggressive
-82.53600799999997,41.95172199999998,neutral_passive
-82.538997,41.952332000000006,curious_risk
-82.534103,41.953435,aggressive
-82.53039499999998,41.955596,curious_risk
-82.52037,41.957316,aggressive
-82.514743,41.957944,curious_risk
-82.516856,41.958989,curious_risk
-82.524287,41.961935,neutral_passive
-82.54819599999999,41.96411,neutral_passive
-82.54156199999997,41.965523,curious_risk
-82.51739599999999,41.965683,neutral_passive
-82.523682,41.96992,neutral_passive
-82.54201,41.97129399999999,neutral_passive
-82.531889,41.971845,neutral_passive
-82.54499,41.975966,neutral_passive
-82.522623,41.978798999999995,curious_risk
-82.53882499999999,41.981216,curious_risk
-82.54813199999998,41.986813999999995,neutral_passive
-64.85421,43.80633,neutral_passive
-64.84047699999999,43.807165,aggressive
-64.83887899999999,43.811206000000006,neutral_passive
-64.829504,43.81183399999999,neutral_passive
-64.821735,43.815365,neutral_passive
-64.842283,43.816283,neutral_passive
-64.847467,43.81727800000001,neutral_passive
-64.852485,43.81734000000001,neutral_passive
-64.83819400000002,43.81844399999999,neutral_passive
-64.83600199999998,43.818642999999994,neutral_passive
-64.840141,43.818897,neutral_passive
-64.832579,43.819464,neutral_passive
-64.848002,43.821473999999995,neutral_passive
-64.82650000000001,43.82162899999999,aggressive
-64.86860799999998,43.821729000000005,curious_risk
-64.832365,43.821817,curious_risk
-64.844749,43.82294100000001,aggressive
-64.82672599999998,43.823687,neutral_passive
-64.823176,43.82596799999999,curious_risk
-64.839521,43.82616900000001,neutral_passive
-64.86360899999998,43.826744,neutral_passive
